493 a 18:51 1 20-23
705 a 18:51 1 20-23 su
140 a 18:51 2 20-23
467 a 18:53 1 20-23
485 a 18:53 1 20-23
362 a 18:56 2 20-23
322 a 18:57 3 
 54 a 19:02 2 
618 b 19:08 1 32-36
370 b 19:08 1 32-36 
210 b 19:08 1 32-36
454 b 19:14 2 32-36
 32 a 19:14 1 20-23
102 a 19:19 3 16-17,19-23
269 a 19:24 2 16,17,20
387 a 19:25 2 16,17,20
670 a 19:26 2 
 78 a 19:32 2 21-23
 76 a 19:39 2 19-23 su
 53 b 19:41 1 32-36
