74  02:04 1 31-33
217 02:05 1 31-33
269 02:05 1 18-22,25,26,32,33
447 02:05 2 18,19,21,22,24-26,28,30-33
778 02:06 1 -
76  02:06 1 -
624 02:06 1 22,25,26,31
228 02:05 1 24,28-33
39  02:07 1 20,23,25,26
776 02:07 1 18,22,28-33
570 02:07 1 18,19,22,25,26,30-33
571 02:07 1 18,19,22,25,26,30-33
823 02:08 2 18-29,32,33
272 02:11 1 23,25-28,30-33
195 02:14 2 22,25,26,31-33
694 02:26 1 32,33
14  02:27 3 21,22,25,26,28,29,31,33
351 02:28 1 21,22,25,26,30-33
353 02:28 1 21,22,25,26,30-33
325 02:28 1 21,22,25,26,30-33
249 02:29 1 18,19,22,28,29,33
227 02:37 1 22,25,28,29,31-33
452 02:51 2 18,19,22,25,26,28,30-33
80  02:52 1 22,30-33
192 02:54 1 21-28,30-33
147 03:04 1 18,19,22,25,26,28-30,32,33
298 03:05 2 18,19,21,22,25,26,28-33
375 03:06 2 18,19,21,22,25,26,28,30-33
722 03:06 5 18,20-29,31
210 03:07 4 32,33
433 03:12 2 18,19,21,22,28,29,31-33
460 03:14 1 -
190 03:21 1 30-33
696 04:49 1 -
459 04:57 1 31
644 05:13 1 18,19,22,25
515 05:13 1 25,26,30
484 05:30 1 33
370 05:31 1 33
105 05:31 2 33
138 05:47 2 19,21,22,25,31
40  06:18 3 31-33
155 06:24 1 -
156 06:24 2 -
62  06:24 1 -
471 06:25 1 -
419 06:25 3 18-20,22-26,28,30,31
824 06:26 1 -
231 06:26 1 18,21,22,25
602 06:45 1 18-22,25,26
628 06:46 1 18-22,25,26
35  06:47 1 22,30-33
491 06:47 1 25-27,30-33
693 06:47 1 22,30-33
435 06:48 1 -
436 06:48 1 -
135 07:32 1 20,23,25,26,29,31-33
640 07:32 2 23,25,26,30-33
642 07:33 1 23,25,26,30-33
439 07:59 1 -
223 08:00 1 19-29,32,33
289 08:01 1 19-29,32,33
650 08:01 1 19-29,32,33
242 08:02 1 19-29,32,33
723 08:02 2 18-29,32,33
634 08:17 1 18,19,29,32,33
270 08:28 1 24,30-33
559 08:45 2 18,19,21,22,25,26,29-33
57  08:45 1 18,19,21,22,25,26,29-33
100 08:49 1 22,28,29,31-33
273 08:49 2 22,25,26,28,29,31-33
17  08:49 1 22,25,26,29,31-33
552 10:50 1 -
106 -     1 22-33
586 -     1 19-22,27-29,31,33
768 -     1 31,33
201 -     1 21,22,25,26,28,31,33
184 -     1 21,22,25,26,28,31,33
258 -     1 18,19,22,25,26
45  -     1 -
731 -     1 32,33
148 09:07 1 -
130 09:07 1 22
296 -     4 18,19,21,22,25,26,30-33
412 10:15 1 22,24,28,29,31,33
706 -     1 21,22,25,26,30-33
820 -     1 28-33
352 -     3 18-22,25,26,28,31,33
487 -     2 22,25,26,28,30-33
529 -     2 22,25,26,28,30-33
131 -     1 21,22,25,26,30-33
132 -     1 18,19,21,22,25,26,30,33
322 -     1 22,25,26,32,33
310 -     1 22,25,26,32,33
777 13:00 2 32,33
137 -     2 32,33
244 -     5 26,32,33
282 -     1 22,30-33
761 9:50  5 20,23,25,26,28,29,31-33
95  10:00 1 20,22,25,26,31,33
280 10:00 1 20,22,25,26,31,33
378 10:00 2 20,22,25,26,31,33
